Path,Type,Size,Format,Language,DiE Info,Notes,Hash
_CodeSignature/CodeResources,Binary,467978,plain text[LF],XML(1.0),,,61bb98cff1b8c952c2199456cf5b4b8133e79d3ff2e6f2df1b1f724463ef3ca2
app.icf,Binary,5940,plain text[LF],,,,27ea5f9e0f9aba2a73187a34f0fa1f40e251842fb702a3345e191939c8735abc
AppIcon60x60@2x.png,Binary,36524,Portable Network Graphics[by extension],,,Correct Header but no valid image data,010c75a04711e723980d086df72c5404a98a8946c6d1583bc70dca4808abb2fa
AppIcon76x76@2x~ipad.png,Binary,56249,Portable Network Graphics[by extension],,,Correct Header but no valid image data,605d6dfb16d1b551be2beaf76e14d223f7c03d1d1e637e7c0c24b836a0861810
AppLovinSDKResources.bundle/_CodeSignature/CodeDirectory,Binary,170,,,,,b9a74baf455cbdf2920051433231a0e88b257779dc05227509ffc5c3be908e19
AppLovinSDKResources.bundle/_CodeSignature/CodeRequirements,Binary,188,,,,,b8a274c993950e31b575878f080f421417203f860612e5ff263ebea50a28dfee
AppLovinSDKResources.bundle/_CodeSignature/CodeRequirements-1,Binary,218,,,,,fa5876bb8cdd8f27d75385ece747fff70387f52a7b8b8ce50c112ca61e5b6722
AppLovinSDKResources.bundle/_CodeSignature/CodeResources,Binary,13464,plain text[LF],XML(1.0),,,258a2cda17f4ab2800d4a1272d06cd6854e29ab50d1f24d51da03a992182e478
AppLovinSDKResources.bundle/_CodeSignature/CodeSignature,Binary,13464,,,,,258a2cda17f4ab2800d4a1272d06cd6854e29ab50d1f24d51da03a992182e478
AppLovinSDKResources.bundle/ALConsentFlowATT.json,Binary,190,plain text[LF],JavaScript Object Notation[by extension],,,23c302f0f88d7cb77a027886fc487fa0df944c05dc26da5bbed6bdc0266cc5da
AppLovinSDKResources.bundle/ALConsentFlowPrivacyPolicy.json,Binary,832,plain text[LF],JavaScript Object Notation[by extension],,,2e568e03e6b58ff32c372eafbac58e82e2eb0af2b53c0106008e50ad1d997943
AppLovinSDKResources.bundle/ALConsentFlowPrivacyPolicyAndATT.json,Binary,917,plain text[LF],JavaScript Object Notation[by extension],,,e7eceaa0a3a4ea009e453caa8b27d1708ed5d1d305eeacd7804f76ae5a815216
AppLovinSDKResources.bundle/ALConsentFlowTermsOfServiceAndPrivacyPolicy.json,Binary,848,plain text[LF],JavaScript Object Notation[by extension],,,3ac4776508ca11ca71eae75ab584da8a90a02bf5fc806a9e9d1d04404fa9cc8c
AppLovinSDKResources.bundle/ALConsentFlowTermsOfServiceAndPrivacyPolicyAndATT.json,Binary,933,plain text[LF],JavaScript Object Notation[by extension],,,298be76d31e5f4af11b09418de4c66b8e4f91d6304f82dd7a6b6bd872a4c61f5
AppLovinSDKResources.bundle/ALConsentFlowUnifiedCMP.json,Binary,1013,plain text[LF],JavaScript Object Notation[by extension],,,300b9b5801c52c111818cbf28a9cf0640b99b7f485a259f46c0ba99c00f7396c
AppLovinSDKResources.bundle/ALDDetailTableViewCell.nib,Binary,5573,,,,,fc45428653d158a8f17e274897d7f390a7210d047868cdf622d620568161fbfd
AppLovinSDKResources.bundle/ALDMultiAdViewController.storyboardc/3jf-B1-XNL-view-Iqa-CO-DFs.nib,Binary,19088,,,,,8bfc67717feac03625126d5b29f22e42627bac776c001679c1568c05cc6d1c83
AppLovinSDKResources.bundle/ALDMultiAdViewController.storyboardc/ALDMultiAdViewController.nib,Binary,8360,,,,,0f92720c3f65328a349387f944c2c7e1ebd94b5f675b96f06fafc41efdf8e504
AppLovinSDKResources.bundle/ALDMultiAdViewController.storyboardc/Info.plist,Binary,173,,,,,ae470b1bf3c37585b0084981e8dabff9e9d66d8f86e0f08e43230490e3fa280e
AppLovinSDKResources.bundle/ALDRightDetailTableViewCell.nib,Binary,4661,,,,,ed807f6ec286e05eae5f8b4575c3cd77d7f2498966dcfad40fde2ffa6b5d8434
AppLovinSDKResources.bundle/Assets.car,Binary,200216,,,,,5f9685b963f8c0f55c3e673c1bcdb0f9c54266f9962c9ffe453a8f56ce97f68f
AppLovinSDKResources.bundle/Base.lproj/Localizable.strings,Binary,1080,,,,,67c2132cb7ed4a0a5bb91112fe110b4f6aaca34a899d93cffc8c1207ec5ea676
AppLovinSDKResources.bundle/de.lproj/Localizable.strings,Binary,1823,,,,,abb0c5e2afb26d6d511b70edd2f5c1539d6cb64e32316c350b03c32c7cd0def6
AppLovinSDKResources.bundle/en.lproj/Localizable.strings,Binary,1080,,,,,67c2132cb7ed4a0a5bb91112fe110b4f6aaca34a899d93cffc8c1207ec5ea676
AppLovinSDKResources.bundle/es.lproj/Localizable.strings,Binary,2046,,,,,e459719f544334d63d2bc9fde07d80af0e21a6f0f25a3794b2de28832e8e68ed
AppLovinSDKResources.bundle/fr.lproj/Localizable.strings,Binary,1728,,,,,ca02a2d66042f83f13cf601e941221790d20217120f15273eb5060d34630e4a6
AppLovinSDKResources.bundle/Info.plist,Binary,753,,,,,7fdc4c63e929120ad61cf958d61c5edf8192b032e7edd211d9d1894ee7d5eacd
AppLovinSDKResources.bundle/ja.lproj/Localizable.strings,Binary,1098,,,,,83245be375a92486f360f89f59c4395125b8d87dd66d4d22cc9130b0e24a9c15
AppLovinSDKResources.bundle/ko.lproj/Localizable.strings,Binary,1106,,,,,ba6b62952ae0c34606dd3c3c1182dcc2b36c6b981625718ee91771512d0ed362
AppLovinSDKResources.bundle/MAHybridNativeAdView.nib,Binary,7446,,,,,cd4177d8df9b0f6105534ce50d818629aa4f53fea175557446e3720f9158b614
AppLovinSDKResources.bundle/MANativeAdBannerView.nib,Binary,8012,,,,,4e5e34899fa0af94927c9263ca367cbc85088e0fdffa4b46ec311334bffd43dd
AppLovinSDKResources.bundle/MANativeAdLeaderView.nib,Binary,7760,,,,,183b9be44bd7a8c0541053d0ed473649a649be8aca8e41367a08dc28326d0133
AppLovinSDKResources.bundle/MANativeAdMediaBannerView.nib,Binary,7343,,,,,e5ab39b67dbae6a780f2b9b4a4282b9ff2d9a09a5bfe8ff1844982935a331fb2
AppLovinSDKResources.bundle/MANativeAdMediumTemplate1.nib,Binary,8732,,,,,389f91416af657e99fa9ed820cf22ccac80bc6273fa820c894ec9fd195545d22
AppLovinSDKResources.bundle/MANativeAdMRecView.nib,Binary,8555,,,,,bd7aed459e785e6f336ee8025e6fd7d18d3a6da238038cc7eea94f3f8a736b3e
AppLovinSDKResources.bundle/MANativeAdSmallTemplate1.nib,Binary,7515,,,,,a2b48010a3643f29254d89edf97aee629ebfa3c2ccd18e61ce64307a6f7f6b36
AppLovinSDKResources.bundle/MANativeAdVerticalBannerView.nib,Binary,7083,,,,,0ab752bc0d15462abe4bad24497fae97a3d83909a69dc556bf9241277b1c1c03
AppLovinSDKResources.bundle/MANativeAdVerticalLeaderView.nib,Binary,7546,,,,,3e770eb77e9c7dd9e4fe1889b43e15da7f693bd82603e02acfa9cf79219d5d62
AppLovinSDKResources.bundle/MANativeAdVerticalMediaBannerView.nib,Binary,7346,,,,,8329f43960d3b72a4bf63e3d0e026e0ec26945f323dbe27fb9d875a5d94a7c36
AppLovinSDKResources.bundle/mute.aiff,Binary,1656,,,,,5944ed3b29e814f111b7bb5b329ab00cfbf7617f447d98d00cbcf55f7851570c
AppLovinSDKResources.bundle/OMLICENSE,Binary,18509,plain text[LF],,,,61e5c9893014e38ed58c96cf522078ca82c61a58be9d09705a5d49e5c653f7e2
AppLovinSDKResources.bundle/omsdk-v1.4.12.js,Binary,43924,plain text[LF],JavaScript[minified/compiled][by extension],,,896cf905b2b562818da58e19e25b525083f18638f6b9b0d7c6aea411a9907585
AppLovinSDKResources.bundle/zh-Hans.lproj/Localizable.strings,Binary,910,,,,,3522d79d9a51806bf8a3ec30bde5bf5dff9157598179b1c84fc05ee9287b2d4d
AppLovinSDKResources.bundle/zh-Hant.lproj/Localizable.strings,Binary,910,,,,,44b30a430c159e42aa8c31ec992143ba0aba685d8593c18e351d760130cc932e
ar.lproj/InfoPlist.strings,Binary,1859,plain text[CRLF],,,,d6466d51bb3ad68653a03a96c4ceb1e667c3cb86ee3a36aec1bd1a55307a7637
Assets.car,Binary,3984040,,,,,7d213c6297247114311c05d386001bc2c7226f7d3ea9d706112873b29d5e757e
audio/music/music_tutorial.ogg,Binary,938150,Ogg Vorbis[by extension],,,Unencrypted; Duration: 1:24,b22207cc904d413abb3c6bf338bfa72fa100ce6b6a1c07adb710064c1326b104
audio/sound_main.group.bin,Binary,7446002,,,,,c463719b5ac473317a9c72e94e593afa46a358dedf30a3a4d999124b9df92ae5
audio/sound_xml.group.bin,Binary,40878,,,,,d62f0f57554ad9850f4c4ee5fd09ba073a58fb930fc051f4c2a568b1c96269fe
AvenirLTStd-Heavy.otf,Binary,28508,TrueType font (.TTF),,,,c9bb99645abe71c45a7aab5d8877cbca30ad03d906a428142246f82b5be62005
billboards/billboards.group.bin,Binary,352617,,,,,d009c5d9e0c979a6a904d734e956edb4bf361ccdc9ec668a7918af1471e4ba09
billboards/billboards_london.group.bin,Binary,291892,,,,,3efc07b76353a1a0af6222c1f8f2d0fa6d52efc931f62d965e1edae90ebc3d5f
billboards/billboards_newyork.group.bin,Binary,209621,,,,,75fd682c7ecb5f5e4e7cbe59cf3fe0e863cac3830f840f579be28f87132ae0d1
boat/boat.group.bin,Binary,13592,,,,,2161ade43a5098984fa638d8349fda3b0f2bcc3aa033d110ff788d766a22fa66
boat/steamboat.group.bin,Binary,104058,,,,,77001eda4e52f7d370eb36d28ec0d0a9336453d7f62c598f9c2c0124f5ccaf56
buildingaddons/alps1.group.bin,Binary,5285,,,,,3b5e17d7591c231f17883264b85365063bbc8eba6452208d2c2a9aa3940208aa
buildingaddons/alps2.group.bin,Binary,67275,,,,,62f0725c8a2435e7436e90e155732367a6ddcbfe9e420dded7d1568b3b0ac53f
buildingaddons/alps3.group.bin,Binary,30520,,,,,42cc49be245fb047c7473d8ceb8a2495edda9efeba8ba98fff22f242b0de30d7
buildingaddons/alps4.group.bin,Binary,26061,,,,,b23a465b582a123215933156ce58099f8be65163c14cc4657a563f216ee791f1
buildingaddons/alps5.group.bin,Binary,18852,,,,,4b4da053317df1090c9a02a0391ccb3c82e4f5a4c9821a113ee9a182643db62f
buildingaddons/alps6.group.bin,Binary,57580,,,,,98928d888853a37fe9f412da9caada9dcdf352374b16eab7562ab7210f851030
buildingaddons/AmericanD1.group.bin,Binary,8154,,,,,9a6c7336ca1d065f7d79a5fe23109a88f0fd2b4787f2cab257925aec71bd2541
buildingaddons/AmericanD2.group.bin,Binary,18941,,,,,abb463c532bed96b7e116860bd0f4652ae5d63781786141e05b4d95fe9e7139d
buildingaddons/AmericanD3.group.bin,Binary,4329,,,,,54d4dae4cf4d665495226c5c31033316974f4a5cb06d6ed555df85304bc7f9d2
buildingaddons/AmericanD4.group.bin,Binary,26131,,,,,b7b38f5a5d2a02a21429e15d45ffd4c8eec15cf364624d0d70c3c2b0cd751b67
buildingaddons/AmericanD5.group.bin,Binary,47936,,,,,23cf01a9e747535fe38e85aecfd3b96b5ef6e66b30b064e7e5a4e2d7c06f01cb
buildingaddons/AmericanD6.group.bin,Binary,13872,,,,,30872fe5ccdaf28c14673ce36f6729a4677badc24748d385c33a8778b9123888
buildingaddons/AmericanD7.group.bin,Binary,70650,,,,,386200b7775489cc5cec28d354e50744ccf48d7b5ad7a3651d6769373647aaf8
buildingaddons/Amusement_Park.group.bin,Binary,119884,,,,,266227f79de0678fd8fe202a676886637ef777f264a561e7ec4c24669e452962
buildingaddons/anim_beach01.group.bin,Binary,54400,,,,,a60aec5809c31ed62734a9075e0b1c24ff9bfa437612e8c2693762f72330267b
buildingaddons/anim_beach02.group.bin,Binary,65553,,,,,c4d071166c1884b8057d59011b9f601702436fce841ca71d2e703c5815e184e4
buildingaddons/anim_beach03.group.bin,Binary,58980,,,,,d0154cb54bc18b40ae027d206bc0da80e8941ffc5b0a84c5cbcbd95ec3916551
buildingaddons/anim_casino01.group.bin,Binary,83835,,,,,32f8c2cbe9d6a9b2c61ba3ba643444f64a7961378fe530845295217a3e2481f5
buildingaddons/anim_casino02.group.bin,Binary,73234,,,,,92da2931e79ea4b4b63bb686cbaafe10b858b083064f6aa7fb3fc53c8140ec0c
buildingaddons/anim_easter01.group.bin,Binary,34523,,,,,46f6a1accac1a4ba918d73cffef6173ad6d41bfec677394f828e405aebf0d9f6
buildingaddons/anim_japan01.group.bin,Binary,59902,,,,,625838b44eddebc78790675ab1fe161ef55154e898614f4fe9486493dd2e25ad
buildingaddons/anim_movies01.group.bin,Binary,55596,,,,,8c18192f3608f7df3208ac9c9a51cb3a1f27644df98267d8ff3a223fd3b4edf4
buildingaddons/anim_movies02.group.bin,Binary,92930,,,,,d86614d2d2b3d32b69ca7847df17b0b53370e22b8e75d60fededf34de0175cec
buildingaddons/anim_movies02b.group.bin,Binary,92008,,,,,af88e5751a8542ef2160ef197c5a31d1ac94f90b7805d62ff7bb459ae8ab7a83
buildingaddons/anim_movies03.group.bin,Binary,92412,,,,,2bce3a5419171b8e32c35cbb98a9e4213c20a8dca5ed679514d78beb13dc258d
buildingaddons/anim_movies04.group.bin,Binary,111731,,,,,20810269ff4769a2ab33bfc3c4b0989516c6750a954f1b67d3789c7652f4ad35
buildingaddons/anim_newyeartemple.group.bin,Binary,15613,,,,,0f7cabc6c66544a38d012a4358dac0ff3edaaeade718b616d8cf2bfc0cea9ba3
buildingaddons/anim_pepsi01.group.bin,Binary,13090,,,,,8bdfcf98a1d2ff3e41932ac2361b2a5b4b5282e40607884f65e0cbd046e0352e
buildingaddons/anim_pepsi02.group.bin,Binary,13056,,,,,8f40bbdf196b13c1a82096192a1b3c67f2bfc6343d01b257cb9645237022d1b5
buildingaddons/anim_pepsi03.group.bin,Binary,16598,,,,,b1ada39ba15f6cb6399ec94eea264abcd301797d2c0c5cbeaaa60bf41185cb71
buildingaddons/anim_pepsi04.group.bin,Binary,16632,,,,,754b4e202085261ab1ad832a676d1f812186debebb7696e5d49c455c7a622de5
buildingaddons/anim_platinum01.group.bin,Binary,26339,,,,,e95d5d23ab0b2e20bdb58b02e3b78bd30bc0448cb43eccebb6aad1e272183329
buildingaddons/anim_platinum02.group.bin,Binary,11713,,,,,6f991a03a8356ebd637336221008b0c6a01cde1fda12cbc2da9cbd85ab3a6915
buildingaddons/anim_platinum03.group.bin,Binary,3858,,,,,57a5818d4d3c56fc4ed73b7cc6ee7da8bdf4a619241ed937d3da13447b7d95c2
buildingaddons/anim_platinum04.group.bin,Binary,10529,,,,,6f530f1e41ab9fc9c5a7b7d3272ff8248b632c8e2d2e6c961839e8e39f22fa0a
buildingaddons/anim_platinum05.group.bin,Binary,4235,,,,,1f61fd3ac5ae25bb5afc074f3c70a9d48f22e6ff6730c77a1b31dfc95a91e09f
buildingaddons/anim_river.group.bin,Binary,14382,,,,,c25c7816107e3d0c3565258ecbcaf3e93aa7ad10ca98a287fc5a32d17870b9c9
buildingaddons/anim_sbeach01.group.bin,Binary,52313,,,,,b5907a557ec8078ffc4dfb14f9a18e4617c443db3446f697d488d76f0059f0e4
buildingaddons/anim_sbeach02.group.bin,Binary,44551,,,,,3651658f45e5ba5bf6fe5528ae56032cd2e2872429ebfffa4866a2bdb5a633e4
buildingaddons/anim_sbeach03.group.bin,Binary,61488,,,,,559f799f2abdb941564cd74c2f62ce2da96a23a611e06ffb293bfdbe549df2d4
buildingaddons/anim_sbeach04.group.bin,Binary,49546,,,,,8b12bcf3d1e7864b4a35b75b88441668562b1b1e702a7c61f3b392400e4cedec
buildingaddons/anim_school.group.bin,Binary,59772,,,,,b135bd7a2abedf1db6df95bbcc5d9ec4895814ad5342e6b360c54171a41941a9
buildingaddons/anim_springcampaign01.group.bin,Binary,133630,,,,,81d23ea7c1a0c0a284bbf81878fc7556ff94e2d409f2b5eb5fde79c1d390d001
